Category,Hour,Count
Music School,0,0
Music School,1,0
Music School,2,0
Music School,3,0
Music School,4,0
Music School,5,0
Music School,6,0
Music School,7,0
Music School,8,0
Music School,9,0
Music School,10,0
Music School,11,0
Music School,12,0
Music School,13,0
Music School,14,0
Music School,15,0
Music School,16,0
Music School,17,0
Music School,18,0
Music School,19,0
Music School,20,1
Music School,21,0
Music School,22,0
Music School,23,0
Trade School,0,0
Trade School,1,0
Trade School,2,0
Trade School,3,0
Trade School,4,0
Trade School,5,0
Trade School,6,1
Trade School,7,2
Trade School,8,20
Trade School,9,2
Trade School,10,4
Trade School,11,2
Trade School,12,14
Trade School,13,11
Trade School,14,2
Trade School,15,0
Trade School,16,0
Trade School,17,5
Trade School,18,5
Trade School,19,3
Trade School,20,0
Trade School,21,0
Trade School,22,0
Trade School,23,0
Argentinian Restaurant,0,0
Argentinian Restaurant,1,0
Argentinian Restaurant,2,0
Argentinian Restaurant,3,0
Argentinian Restaurant,4,0
Argentinian Restaurant,5,0
Argentinian Restaurant,6,0
Argentinian Restaurant,7,0
Argentinian Restaurant,8,0
Argentinian Restaurant,9,0
Argentinian Restaurant,10,0
Argentinian Restaurant,11,0
Argentinian Restaurant,12,0
Argentinian Restaurant,13,1
Argentinian Restaurant,14,1
Argentinian Restaurant,15,2
Argentinian Restaurant,16,1
Argentinian Restaurant,17,2
Argentinian Restaurant,18,2
Argentinian Restaurant,19,4
Argentinian Restaurant,20,3
Argentinian Restaurant,21,2
Argentinian Restaurant,22,4
Argentinian Restaurant,23,0
Smoke Shop,0,6
Smoke Shop,1,5
Smoke Shop,2,1
Smoke Shop,3,2
Smoke Shop,4,2
Smoke Shop,5,1
Smoke Shop,6,0
Smoke Shop,7,2
Smoke Shop,8,3
Smoke Shop,9,3
Smoke Shop,10,1
Smoke Shop,11,7
Smoke Shop,12,8
Smoke Shop,13,10
Smoke Shop,14,7
Smoke Shop,15,10
Smoke Shop,16,18
Smoke Shop,17,11
Smoke Shop,18,13
Smoke Shop,19,10
Smoke Shop,20,51
Smoke Shop,21,24
Smoke Shop,22,5
Smoke Shop,23,11
Middle Eastern Restaurant,0,7
Middle Eastern Restaurant,1,2
Middle Eastern Restaurant,2,2
Middle Eastern Restaurant,3,0
Middle Eastern Restaurant,4,3
Middle Eastern Restaurant,5,1
Middle Eastern Restaurant,6,1
Middle Eastern Restaurant,7,0
Middle Eastern Restaurant,8,0
Middle Eastern Restaurant,9,0
Middle Eastern Restaurant,10,2
