Month,Day,Hour,Count
1,0,0,25
1,0,1,32
1,0,2,24
1,0,3,54
1,0,4,35
1,0,5,51
1,0,6,94
1,0,7,103
1,0,8,186
1,0,9,130
1,0,10,97
1,0,11,87
1,0,12,117
1,0,13,149
1,0,14,104
1,0,15,103
1,0,16,99
1,0,17,120
1,0,18,158
1,0,19,124
1,0,20,115
1,0,21,70
1,0,22,43
1,0,23,45
1,1,0,54
1,1,1,40
1,1,2,49
1,1,3,53
1,1,4,31
1,1,5,39
1,1,6,118
1,1,7,133
1,1,8,186
1,1,9,124
1,1,10,71
1,1,11,64
1,1,12,104
1,1,13,157
1,1,14,107
1,1,15,110
1,1,16,105
1,1,17,150
1,1,18,137
1,1,19,129
1,1,20,87
1,1,21,68
1,1,22,46
1,1,23,31
1,2,0,50
1,2,1,8
1,2,2,26
1,2,3,32
1,2,4,31
1,2,5,45
1,2,6,74
1,2,7,118
1,2,8,181
1,2,9,162
1,2,10,100
1,2,11,110
1,2,12,115
1,2,13,147
1,2,14,84
1,2,15,94
1,2,16,100
1,2,17,135
1,2,18,170
1,2,19,190
1,2,20,118
1,2,21,115
1,2,22,83
1,2,23,52
1,3,0,54
1,3,1,30
1,3,2,37
1,3,3,31
1,3,4,35
1,3,5,52
1,3,6,114
1,3,7,121
1,3,8,160
1,3,9,73
1,3,10,98
1,3,11,91
1,3,12,187
1,3,13,211
1,3,14,171
1,3,15,128
1,3,16,141
1,3,17,160
1,3,18,237
1,3,19,235
1,3,20,170
1,3,21,159
1,3,22,120
1,3,23,88
1,4,0,71
1,4,1,48
1,4,2,40
1,4,3,35
1,4,4,25
1,4,5,49
1,4,6,75
1,4,7,86
1,4,8,183
1,4,9,151
1,4,10,118
1,4,11,111
1,4,12,115
1,4,13,163
1,4,14,119
1,4,15,116
1,4,16,90
1,4,17,107
1,4,18,125
1,4,19,133
1,4,20,106
1,4,21,87
1,4,22,78
1,4,23,86
1,5,0,56
1,5,1,46
1,5,2,48
1,5,3,20
1,5,4,18
1,5,5,19
1,5,6,21
1,5,7,46
1,5,8,60
1,5,9,63
1,5,10,74
1,5,11,90
1,5,12,112
1,5,13,145
1,5,14,115
1,5,15,111
1,5,16,129
1,5,17,123
1,5,18,104
1,5,19,116
1,5,20,89
1,5,21,96
1,5,22,106
1,5,23,101
1,6,0,87
1,6,1,58
1,6,2,60
1,6,3,33
1,6,4,22
1,6,5,14
1,6,6,28
