Month,Hour,Count
1,0,397
1,1,262
1,2,284
1,3,258
1,4,197
1,5,269
1,6,524
1,7,635
1,8,987
1,9,749
1,10,629
1,11,635
1,12,842
1,13,1082
1,14,833
1,15,779
1,16,744
1,17,885
1,18,1022
1,19,1003
1,20,754
1,21,643
1,22,520
1,23,438
2,0,240
2,1,121
2,2,123
2,3,114
2,4,69
2,5,136
2,6,246
2,7,391
2,8,449
2,9,372
2,10,253
2,11,285
2,12,417
2,13,437
2,14,362
2,15,347
2,16,335
2,17,433
2,18,523
2,19,574
2,20,429
2,21,344
2,22,203
2,23,220
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,0
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,23,0
4,0,1100
4,1,717
4,2,489
4,3,320
4,4,301
4,5,430
4,6,974
4,7,1724
4,8,2737
4,9,2951
4,10,2347
4,11,2021
4,12,2336
4,13,2784
4,14,2686
4,15,2415
4,16,2154
4,17,2511
4,18,2831
4,19,2789
4,20,2366
4,21,1816
4,22,1523
4,23,1391
5,0,1162
5,1,844
5,2,593
5,3,361
5,4,325
5,5,486
5,6,877
5,7,1998
5,8,2814
5,9,2786
5,10,2188
5,11,1955
5,12,2583
5,13,3049
5,14,2747
5,15,2534
5,16,2379
5,17,2931
5,18,3576
5,19,3276
5,20,2733
5,21,1931
5,22,1619
5,23,1465
6,0,676
6,1,461
6,2,276
6,3,224
6,4,209
6,5,518
6,6,749
6,7,1371
6,8,2036
6,9,1940
6,10,1375
6,11,1088
6,12,1235
6,13,1437
6,14,1189
6,15,1144
6,16,1071
6,17,1377
6,18,1855
6,19,1800
6,20,1562
6,21,1180
6,22,1028
6,23,890
7,0,606
7,1,489
7,2,374
7,3,294
7,4,234
7,5,290
7,6,559
7,7,980
7,8,1820
7,9,1733
7,10,1211
7,11,1077
7,12,1337
7,13,1453
7,14,1349
7,15,1295
7,16,1143
7,17,1431
7,18,1766
7,19,1831
7,20,1517
7,21,1091
7,22,812
7,23,684
8,0,295
8,1,154
8,2,128
8,3,68
8,4,104
8,5,141
8,6,207
8,7,382
8,8,584
8,9,522
8,10,525
8,11,538
8,12,650
8,13,718
8,14,595
8,15,572
8,16,533
8,17,599
8,18,718
8,19,776
8,20,626
8,21,496
8,22,372
8,23,315
9,0,129
9,1,69
9,2,41
9,3,17
9,4,15
9,5,44
9,6,80
9,7,139
9,8,307
9,9,320
9,10,273
9,11,209
9,12,364
9,13,366
9,14,271
9,15,230
9,16,237
9,17,266
9,18,289
9,19,270
9,20,286
9,21,219
9,22,186
9,23,127
10,0,258
10,1,182
10,2,163
10,3,109
10,4,88
10,5,192
10,6,331
10,7,604
10,8,877
10,9,739
10,10,501
10,11,354
10,12,615
10,13,744
10,14,644
10,15,573
10,16,608
10,17,726
10,18,730
10,19,784
10,20,645
10,21,485
10,22,437
10,23,331
11,0,397
11,1,332
11,2,274
11,3,182
11,4,134
11,5,285
11,6,428
11,7,680
11,8,928
11,9,879
11,10,659
11,11,675
11,12,911
11,13,963
11,14,818
11,15,838
11,16,674
11,17,869
11,18,1042
11,19,1090
11,20,993
11,21,746
11,22,570
11,23,532
12,0,576
12,1,437
12,2,323
12,3,304
12,4,209
12,5,281
12,6,360
12,7,634
12,8,959
12,9,929
12,10,711
12,11,793
12,12,1029
12,13,1251
12,14,941
12,15,975
12,16,866
12,17,975
12,18,1203
12,19,1376
12,20,1205
12,21,897
12,22,825
12,23,592
